ThrowID,X2,GameID,throw_team_score,def_team_score,Score,point_per_game,poss_per_point,score_on_poss,Direction,throw_per_game,throw_per_point,throw_per_poss,throw_team,Thrower,receiver,hand_rl,throw_type,throw_curve,Force,Stall,completion,bad_throw,GEO_Xstart,GEO_Ystart,GEO_Xend,GEO_Yend,RO_Xstart,RO_Ystart,RO_Xend,RO_Yend,Xdist,Ydist,Dist,pull,goal
11-Jan,12,1,0,0,0-0,1,1,1,1,11,11,11,TS,1,99,R,BH,F,B,2,1,0,-7.5,9.5,2.5,0.5,-7.5,9.5,2.5,0.5,10,-9,13.5,NA,0
12-Jan,13,1,0,0,0-0,1,1,1,1,12,12,12,TS,99,28,L,BH,F,NA,0,1,0,2.5,0.5,9.5,-3.5,2.5,0.5,9.5,-3.5,7,-4,8.1,NA,0
13-Jan,14,1,0,0,0-0,1,1,1,1,13,13,13,TS,28,10,R,BH,F,B,5,1,0,9.5,-3.5,11.5,5.5,9.5,-3.5,11.5,5.5,2,9,9.2,NA,0
14-Jan,15,1,0,0,0-0,1,1,1,1,14,14,14,TS,10,28,R,F,OI,B,1,1,0,11.5,5.5,10.5,-7.5,11.5,5.5,10.5,-7.5,-1,-13,13,NA,0
15-Jan,16,1,0,0,0-0,1,1,1,1,15,15,15,TS,28,36,R,BH,F,B,2,1,0,10.5,-7.5,27.5,-4.5,10.5,-7.5,27.5,-4.5,17,3,17.3,NA,0
16-Jan,17,1,0,0,0-0,1,1,1,1,16,16,16,TS,36,1,R,BH,F,B,4,1,0,27.5,-4.5,16.5,-5.5,27.5,-4.5,16.5,-5.5,-11,-1,11,NA,0
17-Jan,18,1,0,0,0-0,1,1,1,1,17,17,17,TS,1,27,R,BH,F,B,3,1,0,16.5,-5.5,26.5,-5.5,16.5,-5.5,26.5,-5.5,10,0,10,NA,0
18-Jan,19,1,0,0,0-0,1,1,1,1,18,18,18,TS,27,10,R,BH,F,B,3,1,0,26.5,-5.5,33.5,-5.5,26.5,-5.5,33.5,-5.5,7,0,7,NA,0
19-Jan,20,1,1,0,Jan-00,1,1,1,1,19,19,19,TS,10,99,R,BH,F,B,7,1,0,33.5,-5.5,39.5,-7.5,33.5,-5.5,39.5,-7.5,6,-2,6.3,NA,1
20-Jan,22,1,0,1,Jan-00,2,1,0,1,20,1,1,RoF,45,24,R,BH,F,FL,4,NA,0,-23.5,0.5,-25.5,5.5,-23.5,0.5,-25.5,5.5,-2,5,5.4,NA,0
21-Jan,23,1,0,1,Jan-00,2,2,1,-1,21,2,1,RoF,24,45,R,BH,F,FL,1,1,0,-25.5,5.5,-24.5,0.5,25.5,-5.5,24.5,-0.5,-1,5,5.1,NA,0
22-Jan,24,1,0,1,Jan-00,2,2,1,-1,22,3,2,RoF,45,24,R,BH,F,F,5,1,0,-24.5,0.5,-28.5,3.5,24.5,-0.5,28.5,-3.5,4,-3,5,NA,0
23-Jan,25,1,0,1,Jan-00,2,2,1,-1,23,4,3,RoF,24,4,R,BH,F,FL,2,1,0,-28.5,3.5,-20.5,9.5,28.5,-3.5,20.5,-9.5,-8,-6,10,NA,0
24-Jan,26,1,0,1,Jan-00,2,2,1,-1,24,5,4,RoF,4,45,R,F,F,B,3,1,0,-20.5,9.5,-20.5,3.5,20.5,-9.5,20.5,-3.5,0,6,6,NA,0
25-Jan,27,1,0,1,Jan-00,2,2,1,-1,25,6,5,RoF,45,28,R,F,F,FL,4,1,0,-20.5,3.5,-20.5,-7.5,20.5,-3.5,20.5,7.5,0,11,11,NA,0
26-Jan,28,1,0,1,Jan-00,2,2,1,-1,26,7,6,RoF,28,45,R,BH,F,FL,2,1,0,-20.5,-7.5,-26.5,-0.5,20.5,7.5,26.5,0.5,6,-7,9.2,NA,0
27-Jan,29,1,0,1,Jan-00,2,2,1,-1,27,8,7,RoF,45,24,R,BH,F,FL,5,1,0,-26.5,-0.5,-17.5,8.5,26.5,0.5,17.5,-8.5,-9,-9,12.7,NA,0
28-Jan,30,1,0,1,Jan-00,2,2,1,-1,28,9,8,RoF,24,0,R,F,F,F,2,1,0,-17.5,8.5,3.5,6.5,17.5,-8.5,-3.5,-6.5,-21,2,21.1,NA,0
29-Jan,31,1,1,1,1-Jan,2,2,1,-1,29,10,9,RoF,0,4,R,H,NA,FL,4,1,0,3.5,6.5,44.5,1.5,-3.5,-6.5,-44.5,-1.5,-41,5,41.3,NA,1
30-Jan,33,1,1,1,1-Jan,3,1,0,-1,30,1,1,TS,27,99,R,BH,F,NA,0,1,0,-33.5,0.5,-23.5,7.5,33.5,-0.5,23.5,-7.5,-10,-7,12.2,NA,0
31-Jan,34,1,1,1,1-Jan,3,1,0,-1,31,2,2,TS,99,27,L,BH,OI,B,4,1,0,-23.5,7.5,-28.5,0.5,23.5,-7.5,28.5,-0.5,5,7,8.6,NA,0
Jan-32,35,1,1,1,1-Jan,3,1,0,-1,32,3,3,TS,27,99,R,BH,F,B,1,1,0,-28.5,0.5,-27.5,6.5,28.5,-0.5,27.5,-6.5,-1,-6,6.1,NA,0
Jan-33,36,1,1,1,1-Jan,3,1,0,-1,33,4,4,TS,99,90,L,BH,F,FL,1,1,0,-27.5,6.5,-27.5,-3.5,27.5,-6.5,27.5,3.5,0,10,10,NA,0
Jan-34,37,1,1,1,1-Jan,3,1,0,-1,34,5,5,TS,90,99,R,BH,F,B,2,1,0,-27.5,-3.5,-27.5,12.5,27.5,3.5,27.5,-12.5,0,-16,16,NA,0
Jan-35,38,1,1,1,1-Jan,3,1,0,-1,35,6,6,TS,99,90,L,BH,OI,B,5,1,0,-27.5,12.5,-30.5,0.5,27.5,-12.5,30.5,-0.5,3,12,12.4,NA,0
Jan-36,39,1,1,1,1-Jan,3,1,0,-1,36,7,7,TS,90,10,R,F,F,B,2,1,0,-30.5,0.5,-19.5,-17.5,30.5,-0.5,19.5,17.5,-11,18,21.1,NA,0
Jan-37,40,1,1,1,1-Jan,3,1,0,-1,37,8,8,TS,10,28,R,BH,F,B,3,1,0,-19.5,-17.5,-16.5,-10.5,19.5,17.5,16.5,10.5,-3,-7,7.6,NA,0
Jan-38,41,1,1,1,1-Jan,3,1,0,-1,38,9,9,TS,28,27,R,BH,F,B,3,1,0,-16.5,-10.5,-8.5,-11.5,16.5,10.5,8.5,11.5,-8,1,8.1,NA,0
Jan-39,42,1,1,1,1-Jan,3,1,0,-1,39,10,10,TS,27,45,R,BH,OI,B,2,0,1,-8.5,-11.5,-2.5,-15.5,8.5,11.5,2.5,15.5,-6,4,7.2,NA,0
Jan-40,43,1,2,1,2-Jan,3,2,1,1,40,11,1,RoF,24,20,R,F,OI,F,4,1,1,-2.5,-15.5,-37.5,-0.5,-2.5,-15.5,-37.5,-0.5,-35,15,38.1,NA,1
Jan-41,45,1,1,2,2-Jan,4,1,1,1,41,1,1,TS,30,36,R,BH,F,NA,0,1,0,36.5,10.5,31.5,10.5,36.5,10.5,31.5,10.5,-5,0,5,NA,0
Jan-42,46,1,1,2,2-Jan,4,1,1,1,42,2,2,TS,36,30,R,BH,F,FL,3,1,0,31.5,10.5,32.5,1.5,31.5,10.5,32.5,1.5,1,-9,9.1,NA,0
Jan-43,47,1,1,2,2-Jan,4,1,1,1,43,3,3,TS,30,6,R,F,F,FL,3,1,0,32.5,1.5,22.5,11.5,32.5,1.5,22.5,11.5,-10,10,14.1,NA,0
Jan-44,48,1,1,2,2-Jan,4,1,1,1,44,4,4,TS,6,36,R,BH,F,FL,4,1,1,22.5,11.5,30.5,9.5,22.5,11.5,30.5,9.5,8,-2,8.2,NA,0
Jan-45,49,1,1,2,2-Jan,4,1,1,1,45,5,5,TS,36,5,R,BH,F,B,5,1,0,30.5,9.5,-21.5,-17.5,30.5,9.5,-21.5,-17.5,-52,-27,58.6,NA,0
Jan-46,50,1,1,2,2-Jan,4,1,1,1,46,6,6,TS,5,30,R,BH,F,B,1,1,0,-21.5,-17.5,-34.5,-17.5,-21.5,-17.5,-34.5,-17.5,-13,0,13,NA,0
Jan-47,51,1,1,2,2-Jan,4,1,1,1,47,7,7,TS,30,90,R,F,F,B,4,1,0,-34.5,-17.5,-26.5,-17.5,-34.5,-17.5,-26.5,-17.5,8,0,8,NA,0
Jan-48,52,1,2,2,2-Feb,4,1,1,1,48,8,8,TS,90,4,R,BH,F,B,3,1,0,-26.5,-17.5,-40.5,-17.5,-26.5,-17.5,-40.5,-17.5,-14,0,14,NA,1
Jan-49,54,1,2,2,2-Feb,5,1,0,1,49,1,1,RoF,24,7,R,BH,F,NA,0,1,0,33.5,-4.5,23.5,0.5,33.5,-4.5,23.5,0.5,-10,5,11.2,NA,0
Jan-50,55,1,2,2,2-Feb,5,1,0,1,50,2,2,RoF,7,12,R,BH,F,FL,2,1,0,23.5,0.5,8.5,-11.5,23.5,0.5,8.5,-11.5,-15,-12,19.2,NA,0
Jan-51,56,1,2,2,2-Feb,5,1,0,1,51,3,3,RoF,12,24,R,BH,OI,FL,4,1,0,8.5,-11.5,9.5,0.5,8.5,-11.5,9.5,0.5,1,12,12,NA,0
Jan-52,57,1,2,2,2-Feb,5,1,0,1,52,4,4,RoF,24,8,R,BH,F,FL,1,1,0,9.5,0.5,8.5,-8.5,9.5,0.5,8.5,-8.5,-1,-9,9.1,NA,0
Jan-53,58,1,2,2,2-Feb,5,1,0,1,53,5,5,RoF,8,24,R,F,OI,FL,3,1,0,8.5,-8.5,17.5,-8.5,8.5,-8.5,17.5,-8.5,9,0,9,NA,0
Jan-54,59,1,2,2,2-Feb,5,1,0,1,54,6,6,RoF,24,45,R,F,F,FL,2,1,0,17.5,-8.5,3.5,1.5,17.5,-8.5,3.5,1.5,-14,10,17.2,NA,0
Jan-55,60,1,2,2,2-Feb,5,1,0,1,55,7,7,RoF,45,8,R,F,F,F,5,1,0,3.5,1.5,-1.5,17.5,3.5,1.5,-1.5,17.5,-5,16,16.8,NA,0
Jan-56,61,1,2,2,2-Feb,5,1,0,1,56,8,8,RoF,8,7,R,BH,F,F,4,1,0,-1.5,17.5,9.5,14.5,-1.5,17.5,9.5,14.5,11,-3,11.4,NA,0
Jan-57,62,1,2,2,2-Feb,5,1,0,1,57,9,9,RoF,7,45,R,BH,F,F,2,1,0,9.5,14.5,9.5,-2.5,9.5,14.5,9.5,-2.5,0,-17,17,NA,0
Jan-58,63,1,2,2,2-Feb,5,1,0,1,58,10,10,RoF,45,28,R,BH,F,NA,1,0,1,9.5,-2.5,3.5,-17.5,9.5,-2.5,3.5,-17.5,-6,-15,16.2,NA,0
Jan-59,64,1,2,2,2-Feb,5,2,0,-1,59,11,1,TS,26,24,R,BH,OI,F,5,1,0,3.5,-17.5,-9.5,-4.5,-3.5,17.5,9.5,4.5,13,-13,18.4,NA,0
Jan-60,65,1,2,2,2-Feb,5,2,0,-1,60,12,2,TS,24,7,R,F,F,F,4,1,0,-9.5,-4.5,-2.5,-18.5,9.5,4.5,2.5,18.5,-7,14,15.7,NA,0
Jan-61,66,1,2,2,2-Feb,5,2,0,-1,61,13,3,TS,7,24,R,F,OI,F,5,1,0,-2.5,-18.5,-2.5,0.5,2.5,18.5,2.5,-0.5,0,-19,19,NA,0
Jan-62,67,1,2,2,2-Feb,5,2,0,-1,62,14,4,TS,24,5,R,BH,OI,F,3,0,1,-2.5,0.5,3.5,15.5,2.5,-0.5,-3.5,-15.5,-6,-15,16.2,NA,0
Jan-63,68,1,2,2,2-Feb,5,3,1,1,63,15,1,RoF,7,0,R,BH,F,FL,2,1,0,3.5,15.5,-29.5,-14.5,3.5,15.5,-29.5,-14.5,-33,-30,44.6,NA,0
Jan-64,69,1,2,2,2-Feb,5,3,1,1,64,16,2,RoF,0,28,R,BH,F,C,8,1,0,-29.5,-14.5,-22.5,-9.5,-29.5,-14.5,-22.5,-9.5,7,5,8.6,NA,0
Jan-65,70,1,2,2,2-Feb,5,3,1,1,65,17,3,RoF,28,45,R,BH,F,F,4,1,0,-22.5,-9.5,-19.5,-14.5,-22.5,-9.5,-19.5,-14.5,3,-5,5.8,NA,0
Jan-66,71,1,2,2,2-Feb,5,3,1,1,66,18,4,RoF,45,24,R,BH,F,F,4,1,0,-19.5,-14.5,-15.5,-19.5,-19.5,-14.5,-15.5,-19.5,4,-5,6.4,NA,0
Jan-67,72,1,2,2,2-Feb,5,3,1,1,67,19,5,RoF,24,45,R,BH,F,F,1,1,0,-15.5,-19.5,-11.5,-13.5,-15.5,-19.5,-11.5,-13.5,4,6,7.2,NA,0
Jan-68,73,1,2,2,2-Feb,5,3,1,1,68,20,6,RoF,45,24,R,F,F,F,1,1,0,-11.5,-13.5,-17.5,5.5,-11.5,-13.5,-17.5,5.5,-6,19,19.9,NA,0
Jan-69,74,1,3,2,3-Feb,5,3,1,1,69,21,7,RoF,24,28,R,F,F,F,2,1,0,-17.5,5.5,-37.5,10.5,-17.5,5.5,-37.5,10.5,-20,5,20.6,NA,1
Jan-70,76,1,2,3,NA,6,1,1,1,70,1,1,TS,27,36,R,BH,F,NA,0,1,0,29.5,9.5,27.5,2.5,29.5,9.5,27.5,2.5,-2,-7,7.3,NA,0
Jan-71,77,1,2,3,NA,6,1,1,1,71,2,2,TS,36,10,R,F,F,FL,3,1,0,27.5,2.5,10.5,18.5,27.5,2.5,10.5,18.5,-17,16,23.3,NA,0
Jan-72,78,1,2,3,NA,6,1,1,1,72,3,3,TS,10,99,R,BH,F,FL,2,1,0,10.5,18.5,0.5,13.5,10.5,18.5,0.5,13.5,-10,-5,11.2,NA,0
Jan-73,79,1,2,3,NA,6,1,1,1,73,4,4,TS,99,10,L,BH,F,B,3,1,0,0.5,13.5,6.5,10.5,0.5,13.5,6.5,10.5,6,-3,6.7,NA,0
Jan-74,80,1,2,3,NA,6,1,1,1,74,5,5,TS,10,36,R,F,F,NA,1,1,0,6.5,10.5,-0.5,7.5,6.5,10.5,-0.5,7.5,-7,-3,7.6,NA,0
Jan-75,81,1,2,3,NA,6,1,1,1,75,6,6,TS,36,1,R,BH,F,NA,0,1,0,-0.5,7.5,-2.5,12.5,-0.5,7.5,-2.5,12.5,-2,5,5.4,NA,0
Jan-76,82,1,2,3,NA,6,1,1,1,76,7,7,TS,1,10,R,BH,F,NA,2,1,0,-2.5,12.5,-2.5,1.5,-2.5,12.5,-2.5,1.5,0,-11,11,NA,0
Jan-77,83,1,2,3,NA,6,1,1,1,77,8,8,TS,10,36,R,F,OI,NA,1,1,0,-2.5,1.5,-25.5,16.5,-2.5,1.5,-25.5,16.5,-23,15,27.5,NA,0
Jan-78,84,1,2,3,NA,6,1,1,1,78,9,9,TS,36,17,R,BH,F,NA,0,1,0,-25.5,16.5,-27.5,8.5,-25.5,16.5,-27.5,8.5,-2,-8,8.2,NA,0
Jan-79,85,1,3,3,NA,6,1,1,1,79,10,10,TS,17,45,R,F,F,B,3,1,0,-27.5,8.5,-40.5,19.5,-27.5,8.5,-40.5,19.5,-13,11,17,NA,1
Jan-80,87,1,3,3,NA,7,1,0,1,80,1,1,RoF,24,7,R,BH,F,NA,0,1,0,34.5,14.5,34.5,0.5,34.5,14.5,34.5,0.5,0,-14,14,NA,0
Jan-81,88,1,3,3,NA,7,1,0,1,81,2,2,RoF,7,4,R,F,F,NA,0,1,0,34.5,0.5,15.5,7.5,34.5,0.5,15.5,7.5,-19,7,20.2,NA,0
Jan-82,89,1,3,3,NA,7,1,0,1,82,3,3,RoF,4,7,R,BH,F,FL,3,1,0,15.5,7.5,18.5,-5.5,15.5,7.5,18.5,-5.5,3,-13,13.3,NA,0
Jan-83,90,1,3,3,NA,7,1,0,1,83,4,4,RoF,7,45,R,BH,F,FL,1,1,0,18.5,-5.5,14.5,-19.5,18.5,-5.5,14.5,-19.5,-4,-14,14.6,NA,0
Jan-84,91,1,3,3,NA,7,1,0,1,84,5,5,RoF,45,7,R,S,NA,F,7,1,0,14.5,-19.5,-0.5,-17.5,14.5,-19.5,-0.5,-17.5,-15,2,15.1,NA,0
Jan-85,92,1,3,3,NA,7,1,0,1,85,6,6,RoF,7,4,R,F,F,F,4,1,0,-0.5,-17.5,-14.5,15.5,-0.5,-17.5,-14.5,15.5,-14,33,35.8,NA,0
Jan-86,93,1,3,3,NA,7,1,0,1,86,7,7,RoF,4,10,R,F,OI,F,1,0,1,-14.5,15.5,-36.5,15.5,-14.5,15.5,-36.5,15.5,-22,0,22,NA,0
Jan-87,94,1,3,3,NA,7,2,0,-1,87,8,1,TS,30,25,R,BH,F,NA,0,1,0,-36.5,15.5,-31.5,14.5,36.5,-15.5,31.5,-14.5,-5,1,5.1,NA,0
Jan-88,95,1,3,3,NA,7,2,0,-1,88,9,2,TS,25,21,L,BH,F,F,1,1,0,-31.5,14.5,-29.5,8.5,31.5,-14.5,29.5,-8.5,-2,6,6.3,NA,0
Jan-89,96,1,3,3,NA,7,2,0,-1,89,10,3,TS,21,30,R,BH,F,F,2,1,0,-29.5,8.5,-30.5,0.5,29.5,-8.5,30.5,-0.5,1,8,8.1,NA,0
Jan-90,97,1,3,3,NA,7,2,0,-1,90,11,4,TS,30,4,R,F,F,F,1,0,1,-30.5,0.5,22,-20,30.5,-0.5,-22,20,-52.5,20.5,56.4,NA,0
Jan-91,98,1,3,3,NA,7,3,1,1,91,12,1,RoF,0,24,R,BH,F,NA,0,1,0,22,-20,20.5,-4.5,22,-20,20.5,-4.5,-1.5,15.5,15.6,NA,0
Jan-92,99,1,3,3,NA,7,3,1,1,92,13,2,RoF,24,45,R,F,F,NA,0,1,0,20.5,-4.5,16.5,9.5,20.5,-4.5,16.5,9.5,-4,14,14.6,NA,0
Jan-93,100,1,3,3,NA,7,3,1,1,93,14,3,RoF,45,10,R,F,F,F,2,1,0,16.5,9.5,1.5,3.5,16.5,9.5,1.5,3.5,-15,-6,16.2,NA,0
Jan-94,101,1,3,3,NA,7,3,1,1,94,15,4,RoF,10,4,R,F,F,FL,0,1,0,1.5,3.5,10.5,11.5,1.5,3.5,10.5,11.5,9,8,12,NA,0
Jan-95,102,1,3,3,NA,7,3,1,1,95,16,5,RoF,4,45,R,BH,F,FL,1,1,0,10.5,11.5,7.5,-0.5,10.5,11.5,7.5,-0.5,-3,-12,12.4,NA,0
Jan-96,103,1,3,3,NA,7,3,1,1,96,17,6,RoF,45,7,R,F,F,F,2,1,0,7.5,-0.5,-6.5,3.5,7.5,-0.5,-6.5,3.5,-14,4,14.6,NA,0
Jan-97,104,1,3,3,NA,7,3,1,1,97,18,7,RoF,7,12,R,BH,F,F,2,1,0,-6.5,3.5,1.5,4.5,-6.5,3.5,1.5,4.5,8,1,8.1,NA,0
Jan-98,105,1,3,3,NA,7,3,1,1,98,19,8,RoF,12,7,R,BH,F,NA,0,1,0,1.5,4.5,-2.5,12.5,1.5,4.5,-2.5,12.5,-4,8,8.9,NA,0
Jan-99,106,1,3,3,NA,7,3,1,1,99,20,9,RoF,7,24,R,F,F,F,3,1,0,-2.5,12.5,-14.5,16.5,-2.5,12.5,-14.5,16.5,-12,4,12.6,NA,0
1-100,107,1,3,3,NA,7,3,1,1,100,21,10,RoF,24,45,R,BH,F,F,4,1,0,-14.5,16.5,-6.5,9.5,-14.5,16.5,-6.5,9.5,8,-7,10.6,NA,0
1-101,108,1,3,3,NA,7,3,1,1,101,22,11,RoF,45,10,R,F,F,F,2,1,0,-6.5,9.5,-20.5,-5.5,-6.5,9.5,-20.5,-5.5,-14,-15,20.5,NA,0
1-102,109,1,3,3,NA,7,3,1,1,102,23,12,RoF,10,4,R,F,F,F,2,1,0,-20.5,-5.5,-28.5,2.5,-20.5,-5.5,-28.5,2.5,-8,8,11.3,NA,0
1-103,110,1,3,3,NA,7,3,1,1,103,24,13,RoF,4,7,R,BH,F,F,3,1,0,-28.5,2.5,-27.5,-5.5,-28.5,2.5,-27.5,-5.5,1,-8,8.1,NA,0
1-104,111,1,3,3,NA,7,3,1,1,104,25,14,RoF,7,4,L,BH,F,F,4,1,0,-27.5,-5.5,-34.5,-8.5,-27.5,-5.5,-34.5,-8.5,-7,-3,7.6,NA,0
1-105,112,1,4,3,NA,7,3,1,1,105,26,15,RoF,4,7,R,BH,F,F,4,1,0,-34.5,-8.5,-36.5,-15.5,-34.5,-8.5,-36.5,-15.5,-2,-7,7.3,NA,1
1-106,114,1,3,4,NA,8,1,0,1,106,1,1,TS,1,36,R,BH,F,NA,0,1,0,56.5,5.5,50.5,2.5,56.5,5.5,50.5,2.5,-6,-3,6.7,NA,0
1-107,115,1,3,4,NA,8,1,0,1,107,2,2,TS,36,1,R,BH,F,NA,0,1,0,50.5,2.5,45.5,12.5,50.5,2.5,45.5,12.5,-5,10,11.2,NA,0
1-108,116,1,3,4,NA,8,1,0,1,108,3,3,TS,1,99,R,BH,F,FL,2,NA,0,45.5,12.5,48.5,2.5,45.5,12.5,48.5,2.5,3,-10,10.4,NA,0
1-109,117,1,3,4,NA,8,2,1,-1,109,4,1,TS,99,1,L,F,OI,F,1,1,0,48.5,2.5,39.5,-10.5,-48.5,-2.5,-39.5,10.5,9,13,15.8,NA,0
1-110,118,1,3,4,NA,8,2,1,-1,110,5,2,TS,1,99,R,F,F,F,2,1,0,39.5,-10.5,25.5,-8.5,-39.5,10.5,-25.5,8.5,14,-2,14.1,NA,0
1-111,119,1,3,4,NA,8,2,1,-1,111,6,3,TS,99,36,L,BH,F,F,2,1,0,25.5,-8.5,18.5,-2.5,-25.5,8.5,-18.5,2.5,7,-6,9.2,NA,0
1-112,120,1,3,4,NA,8,2,1,-1,112,7,4,TS,36,1,R,BH,F,F,5,1,0,18.5,-2.5,21.5,-5.5,-18.5,2.5,-21.5,5.5,-3,3,4.2,NA,0
1-113,121,1,3,4,NA,8,2,1,-1,113,8,5,TS,1,90,R,BH,F,F,2,1,0,21.5,-5.5,7.5,-16.5,-21.5,5.5,-7.5,16.5,14,11,17.8,NA,0
1-114,122,1,3,4,NA,8,2,1,-1,114,9,6,TS,90,36,R,F,F,F,3,1,0,7.5,-16.5,21.5,-16.5,-7.5,16.5,-21.5,16.5,-14,0,14,NA,0
1-115,123,1,3,4,NA,8,2,1,-1,115,10,7,TS,36,17,R,F,F,F,2,1,0,21.5,-16.5,20.5,1.5,-21.5,16.5,-20.5,-1.5,1,-18,18,NA,0
1-116,124,1,3,4,NA,8,2,1,-1,116,11,8,TS,17,10,R,F,F,F,1,1,0,20.5,1.5,14.5,16.5,-20.5,-1.5,-14.5,-16.5,6,-15,16.2,NA,0
1-117,125,1,3,4,NA,8,2,1,-1,117,12,9,TS,10,99,R,BH,F,FL,5,1,0,14.5,16.5,19.5,12.5,-14.5,-16.5,-19.5,-12.5,-5,4,6.4,NA,0
1-118,126,1,3,4,NA,8,2,1,-1,118,13,10,TS,99,28,L,F,F,FL,3,1,0,19.5,12.5,17.5,-11.5,-19.5,-12.5,-17.5,11.5,2,24,24.1,NA,0
1-119,127,1,3,4,NA,8,2,1,-1,119,14,11,TS,28,30,R,F,F,FL,2,1,0,17.5,-11.5,9.5,-0.5,-17.5,11.5,-9.5,0.5,8,-11,13.6,NA,0
1-120,128,1,3,4,NA,8,2,1,-1,120,15,12,TS,30,36,R,F,F,F,1,1,0,9.5,-0.5,8.5,8.5,-9.5,0.5,-8.5,-8.5,1,-9,9.1,NA,0
1-121,129,1,3,4,NA,8,2,1,-1,121,16,13,TS,36,10,R,F,F,FL,3,1,0,8.5,8.5,-13.5,18.5,-8.5,-8.5,13.5,-18.5,22,-10,24.2,NA,0
1-122,130,1,4,4,NA,8,2,1,-1,122,17,14,TS,10,99,R,BH,IO,FL,2,1,0,-13.5,18.5,-50,17.5,13.5,-18.5,50,-17.5,36.5,1,36.5,NA,1
1-123,132,1,4,4,NA,9,1,1,-1,123,1,1,RoF,45,7,R,BH,F,NA,0,1,0,31.5,16.5,34.5,3.5,-31.5,-16.5,-34.5,-3.5,-3,13,13.3,NA,0
1-124,133,1,4,4,NA,9,1,1,-1,124,2,2,RoF,7,4,R,F,F,F,4,1,0,34.5,3.5,11.5,17.5,-34.5,-3.5,-11.5,-17.5,23,-14,26.9,NA,0
1-125,134,1,4,4,NA,9,1,1,-1,125,3,3,RoF,4,0,R,F,F,F,2,1,0,11.5,17.5,-25.5,17.5,-11.5,-17.5,25.5,-17.5,37,0,37,NA,0
1-126,135,1,5,4,NA,9,1,1,-1,126,4,4,RoF,0,10,R,F,F,F,3,1,0,-25.5,17.5,-47.5,16.5,25.5,-17.5,47.5,-16.5,22,1,22,NA,1
1-127,137,1,4,5,NA,10,1,1,-1,127,1,1,TS,17,36,R,BH,F,NA,0,1,0,36.5,8.5,24.5,4.5,-36.5,-8.5,-24.5,-4.5,12,4,12.6,NA,0
1-128,138,1,4,5,NA,10,1,1,-1,128,2,2,TS,36,28,R,F,F,FL,4,1,0,24.5,4.5,18.5,16.5,-24.5,-4.5,-18.5,-16.5,6,-12,13.4,NA,0
1-129,139,1,4,5,NA,10,1,1,-1,129,3,3,TS,28,45,R,BH,F,FL,1,1,0,18.5,16.5,6.5,13.5,-18.5,-16.5,-6.5,-13.5,12,3,12.4,NA,0
1-130,140,1,4,5,NA,10,1,1,-1,130,4,4,TS,45,99,R,F,OI,NA,0,1,0,6.5,13.5,-10.5,16.5,-6.5,-13.5,10.5,-16.5,17,-3,17.3,NA,0
