,Xdist,Ydist,backhand,forehand,hammer,completion
79,0.0,-14.0,1,0,0,1.0
80,-19.0,7.0,0,1,0,1.0
81,3.0,-13.0,1,0,0,1.0
82,-4.0,-14.0,1,0,0,1.0
83,-15.0,2.0,0,0,0,1.0
84,-14.0,33.0,0,1,0,1.0
85,-22.0,0.0,0,1,0,0.0
86,-5.0,1.0,1,0,0,1.0
87,-2.0,6.0,1,0,0,1.0
88,1.0,8.0,1,0,0,1.0
89,-52.5,20.5,0,1,0,0.0
90,-1.5,15.5,1,0,0,1.0
91,-4.0,14.0,0,1,0,1.0
92,-15.0,-6.0,0,1,0,1.0
93,9.0,8.0,0,1,0,1.0
94,-3.0,-12.0,1,0,0,1.0
95,-14.0,4.0,0,1,0,1.0
96,8.0,1.0,1,0,0,1.0
97,-4.0,8.0,1,0,0,1.0
98,-12.0,4.0,0,1,0,1.0
99,8.0,-7.0,1,0,0,1.0
100,-14.0,-15.0,0,1,0,1.0
101,-8.0,8.0,0,1,0,1.0
102,1.0,-8.0,1,0,0,1.0
103,-7.0,-3.0,1,0,0,1.0
104,-2.0,-7.0,1,0,0,1.0
105,-6.0,-3.0,1,0,0,1.0
106,-5.0,10.0,1,0,0,1.0
108,9.0,13.0,0,1,0,1.0
109,14.0,-2.0,0,1,0,1.0
110,7.0,-6.0,1,0,0,1.0
111,-3.0,3.0,1,0,0,1.0
112,14.0,11.0,1,0,0,1.0
113,-14.0,0.0,0,1,0,1.0
114,1.0,-18.0,0,1,0,1.0
115,6.0,-15.0,0,1,0,1.0
116,-5.0,4.0,1,0,0,1.0
117,2.0,24.0,0,1,0,1.0
118,8.0,-11.0,0,1,0,1.0
119,1.0,-9.0,0,1,0,1.0
120,22.0,-10.0,0,1,0,1.0
121,36.5,1.0,1,0,0,1.0
122,-3.0,13.0,1,0,0,1.0
123,23.0,-14.0,0,1,0,1.0
124,37.0,0.0,0,1,0,1.0
125,22.0,1.0,0,1,0,1.0
126,12.0,4.0,1,0,0,1.0
127,6.0,-12.0,0,1,0,1.0
128,12.0,3.0,1,0,0,1.0
129,17.0,-3.0,0,1,0,1.0
130,12.0,2.0,0,1,0,1.0
131,19.0,22.0,1,0,0,1.0
132,6.0,13.0,1,0,0,1.0
133,13.0,-4.0,0,1,0,1.0
134,21.0,-3.0,0,1,0,1.0
135,-6.0,13.0,1,0,0,1.0
136,6.0,-10.0,1,0,0,1.0
137,13.0,-7.0,0,1,0,1.0
138,10.0,5.0,0,1,0,1.0
139,-6.0,7.0,1,0,0,1.0
140,6.0,5.0,0,1,0,1.0
141,4.0,-10.0,0,1,0,1.0
142,1.0,-2.0,1,0,0,1.0
143,5.0,2.0,1,0,0,1.0
144,10.0,1.0,1,0,0,1.0
145,1.0,8.0,1,0,0,1.0
146,-4.0,-9.0,1,0,0,1.0
147,3.0,-13.0,0,1,0,1.0
148,-8.0,13.0,1,0,0,1.0
149,4.0,8.0,1,0,0,1.0
150,15.0,-6.0,1,0,0,1.0
151,-4.0,4.0,1,0,0,1.0
152,6.0,1.0,1,0,0,1.0
153,-4.0,0.0,1,0,0,1.0
154,8.0,-19.0,0,1,0,1.0
155,9.0,0.0,1,0,0,1.0
156,5.0,-4.0,1,0,0,1.0
157,8.0,3.0,1,0,0,1.0
158,1.0,10.0,1,0,0,1.0
159,1.0,-10.0,0,1,0,1.0
160,5.0,12.0,1,0,0,1.0
161,2.0,11.0,1,0,0,1.0
162,1.0,-11.0,1,0,0,1.0
163,5.0,-3.0,1,0,0,1.0
164,-2.0,3.0,1,0,0,1.0
165,6.0,-16.0,0,1,0,1.0
166,-4.0,6.0,0,1,0,1.0
167,3.0,6.0,1,0,0,1.0
168,4.0,10.0,0,1,0,1.0
169,16.0,3.0,1,0,0,1.0
170,3.0,13.0,1,0,0,1.0
171,-1.0,-11.0,1,0,0,1.0
172,3.0,-14.0,0,1,0,1.0
173,23.0,8.0,0,1,0,1.0
174,-1.0,-5.0,1,0,0,1.0
175,9.0,-8.0,0,0,0,1.0
176,11.0,0.0,0,1,0,1.0
177,2.0,-2.0,1,0,0,1.0
178,7.0,0.0,1,0,0,1.0
179,3.0,3.0,1,0,0,1.0
180,-2.0,10.0,1,0,0,1.0
181,-5.0,-16.0,0,1,0,1.0
182,8.0,-9.0,1,0,0,1.0
183,-10.0,9.0,1,0,0,1.0
184,4.0,19.0,0,1,0,1.0
185,0.0,-13.0,1,0,0,1.0
186,-6.0,9.0,1,0,0,1.0
187,5.0,12.0,1,0,0,1.0
188,5.0,-9.0,0,1,0,1.0
189,3.0,-16.0,0,1,0,1.0
190,12.0,-11.0,0,1,0,1.0
191,18.0,-1.0,0,1,0,0.0
192,5.0,-11.0,0,1,0,1.0
193,-4.0,-7.0,1,0,0,1.0
194,-2.0,11.0,1,0,0,1.0
195,4.0,7.0,1,0,0,1.0
196,-6.0,-1.0,0,1,0,1.0
197,-3.0,-2.0,1,0,0,1.0
198,1.0,-17.0,0,1,0,1.0
199,7.0,-12.0,0,1,0,1.0
200,15.0,-3.0,0,1,0,1.0
201,61.0,14.0,0,1,0,0.0
202,11.0,12.0,1,0,0,1.0
203,2.0,-12.0,0,1,0,0.0
204,-5.0,16.0,1,0,0,1.0
205,6.0,9.0,1,0,0,1.0
206,11.0,-2.0,0,1,0,0.0
207,56.0,-1.0,1,0,0,0.0
208,-2.0,-5.0,0,1,0,1.0
209,7.0,0.0,0,1,0,1.0
210,3.0,-15.0,0,1,0,1.0
211,2.0,-7.0,1,0,0,1.0
212,-3.0,27.0,0,0,1,1.0
213,19.0,-1.0,0,0,0,1.0
214,2.0,-9.0,0,1,0,1.0
215,-4.0,-2.0,1,0,0,1.0
216,2.0,-5.0,1,0,0,1.0
217,4.0,-12.0,0,1,0,1.0
218,-6.0,1.0,1,0,0,1.0
219,-2.0,11.0,1,0,0,1.0
220,19.0,17.0,1,0,0,1.0
221,11.0,-25.0,0,1,0,1.0
222,-4.0,-1.0,1,0,0,1.0
223,2.0,-4.0,1,0,0,1.0
224,5.0,-3.0,1,0,0,1.0
225,4.0,-3.0,1,0,0,1.0
226,9.0,3.0,1,0,0,1.0
227,56.0,0.0,1,0,0,0.0
228,5.0,10.0,1,0,0,1.0
229,8.0,-5.0,0,1,0,1.0
230,4.0,-11.0,0,1,0,1.0
231,1.0,11.0,1,0,0,1.0
232,4.0,12.0,1,0,0,1.0
233,13.0,-9.0,0,1,0,1.0
234,-2.0,-14.0,0,1,0,1.0
235,11.0,-12.0,0,1,0,1.0
236,-4.0,9.0,1,0,0,1.0
237,9.0,-10.0,0,1,0,1.0
238,16.0,37.0,0,0,1,0.0
239,65.0,20.0,1,0,0,1.0
240,3.0,12.0,1,0,0,1.0
241,3.0,-10.0,0,1,0,1.0
242,10.0,-17.0,0,1,0,1.0
243,-2.0,9.0,1,0,0,1.0
244,-1.0,11.0,1,0,0,1.0
245,3.0,8.0,1,0,0,1.0
246,6.0,1.0,0,1,0,1.0
247,4.0,-8.0,1,0,0,1.0
248,3.0,-3.0,1,0,0,1.0
249,1.0,9.0,1,0,0,1.0
250,5.0,3.0,1,0,0,1.0
251,-5.0,-10.0,0,1,0,1.0
252,1.0,-18.0,1,0,0,1.0
253,7.0,0.0,1,0,0,1.0
254,-4.0,9.0,0,1,0,1.0
255,4.0,9.0,1,0,0,1.0
256,7.0,7.0,1,0,0,1.0
257,-4.0,-5.0,0,1,0,1.0
258,6.0,8.0,1,0,0,1.0
259,12.0,5.0,0,1,0,1.0
260,-1.0,-6.0,0,1,0,1.0
261,11.0,-21.0,1,0,0,1.0
262,7.0,16.0,1,0,0,1.0
263,2.0,-15.0,1,0,0,1.0
264,4.0,15.0,1,0,0,1.0
265,-4.0,-11.0,0,1,0,1.0
266,2.0,-11.0,1,0,0,1.0
267,4.0,-2.0,1,0,0,1.0
268,5.0,18.0,0,1,0,1.0
269,13.0,0.0,1,0,0,1.0
270,4.0,-8.0,0,1,0,1.0
271,-1.0,14.0,1,0,0,1.0
272,15.0,-1.0,0,0,0,1.0
273,-6.0,-4.0,1,0,0,1.0
274,6.0,6.0,1,0,0,1.0
275,7.0,-13.0,0,1,0,1.0
276,-1.0,-5.0,1,0,0,1.0
277,-4.0,0.0,1,0,0,1.0
278,0.0,-4.0,1,0,0,1.0
279,1.0,11.0,1,0,0,1.0
280,15.0,9.0,1,0,0,1.0
281,13.0,3.0,1,0,0,1.0
282,7.0,-1.0,1,0,0,1.0
283,-4.0,10.0,1,0,0,1.0
284,-1.0,-18.0,1,0,0,1.0
285,-2.0,18.0,1,0,0,1.0
286,7.0,-19.0,1,0,0,1.0
287,-5.0,10.0,1,0,0,1.0
288,1.0,13.0,1,0,0,1.0
289,-3.0,-5.0,0,1,0,1.0
290,7.0,-19.0,0,1,0,1.0
291,11.0,-4.0,0,1,0,1.0
292,54.0,9.0,0,1,0,0.0
293,9.0,-7.0,0,1,0,1.0
294,-7.0,1.0,1,0,0,1.0
295,2.0,13.0,1,0,0,1.0
296,-3.0,0.0,1,0,0,1.0
297,0.0,-24.0,0,1,0,1.0
298,-8.0,4.0,1,0,0,1.0
299,3.0,-4.0,0,1,0,1.0
300,10.0,-9.0,0,1,0,1.0
301,21.0,1.0,0,1,0,1.0
302,6.0,-2.0,1,0,0,0.0
303,22.0,0.0,1,0,0,1.0
304,-4.0,-7.0,0,1,0,1.0
305,8.0,-16.0,0,1,0,1.0
306,17.0,-15.0,1,0,0,1.0
307,6.0,14.0,1,0,0,1.0
308,-5.0,5.0,1,0,0,1.0
309,6.0,10.0,1,0,0,1.0
310,58.0,-33.0,1,0,0,0.0
311,4.0,-14.0,1,0,0,1.0
312,12.0,13.0,1,0,0,1.0
313,-11.0,-3.0,0,0,0,1.0
314,1.0,-21.0,0,1,0,1.0
315,10.0,-10.0,0,1,0,1.0
316,21.0,-2.0,0,1,0,0.0
317,13.0,-2.0,1,0,0,1.0
318,-4.0,-6.0,0,1,0,1.0
319,0.0,7.0,1,0,0,1.0
320,9.0,-7.0,1,0,0,1.0
321,20.0,-3.0,1,0,0,1.0
322,-5.0,-8.0,1,0,0,1.0
323,15.0,16.0,1,0,0,1.0
324,7.0,-2.0,1,0,0,1.0
325,3.0,7.0,1,0,0,1.0
326,7.0,-8.0,0,1,0,1.0
327,20.0,-1.0,1,0,0,1.0
328,-1.0,9.0,1,0,0,1.0
329,20.0,6.0,0,1,0,1.0
330,-9.0,0.0,1,0,0,1.0
331,17.0,3.0,1,0,0,1.0
332,-9.0,-3.0,0,1,0,1.0
333,8.0,-33.0,0,1,0,1.0
334,-8.0,5.0,1,0,0,1.0
335,-2.0,14.0,1,0,0,1.0
336,3.0,16.0,1,0,0,1.0
337,16.0,2.0,0,1,0,1.0
338,10.0,2.0,1,0,0,1.0
339,5.0,8.0,1,0,0,1.0
340,12.0,-4.0,1,0,0,1.0
341,55.0,0.0,0,1,0,1.0
342,10.0,-21.0,1,0,0,1.0
343,6.0,5.0,1,0,0,1.0
344,-1.0,10.0,1,0,0,1.0
345,4.0,8.0,1,0,0,1.0
346,68.0,-26.0,1,0,0,1.0
347,4.0,10.0,1,0,0,1.0
348,5.0,-5.0,0,1,0,1.0
349,-8.0,6.0,1,0,0,1.0
350,2.0,9.0,1,0,0,1.0
351,4.0,-20.0,0,1,0,1.0
352,19.0,-4.0,0,1,0,1.0
353,51.0,22.0,1,0,0,0.0
354,3.0,20.0,1,0,0,1.0
355,-2.0,-6.0,0,1,0,1.0
356,2.0,-10.0,0,1,0,1.0
357,1.0,14.0,1,0,0,1.0
358,16.0,6.0,1,0,0,1.0
359,3.0,-11.0,0,1,0,1.0
360,11.0,10.0,1,0,0,1.0
361,-8.0,-4.0,0,1,0,1.0
362,11.0,-25.0,0,1,0,1.0
363,32.0,-2.0,0,1,0,1.0
364,-1.0,14.0,1,0,0,1.0
365,2.0,1.0,1,0,0,1.0
366,10.0,-1.0,1,0,0,1.0
367,0.0,17.0,1,0,0,1.0
368,-2.0,0.0,1,0,0,1.0
369,20.0,-2.0,0,1,0,1.0
370,4.0,-8.0,0,1,0,1.0
371,8.0,-18.0,0,1,0,1.0
372,16.0,-1.0,0,1,0,1.0
373,17.0,-2.0,0,1,0,1.0
374,12.0,-5.0,0,1,0,1.0
375,-6.0,-7.0,0,1,0,1.0
376,6.0,-12.0,0,1,0,1.0
377,-12.0,13.0,0,1,0,0.0
378,-7.0,13.0,1,0,0,1.0
379,-3.0,-7.0,1,0,0,1.0
380,1.0,20.0,1,0,0,1.0
381,12.0,4.0,0,1,0,1.0
382,10.0,3.0,1,0,0,0.0
383,69.0,15.0,1,0,0,1.0
384,7.0,-12.0,1,0,0,1.0
385,9.0,10.0,1,0,0,1.0
386,64.0,-17.0,1,0,0,1.0
387,-5.0,0.0,1,0,0,1.0
388,-1.0,8.0,1,0,0,1.0
389,6.0,7.0,0,0,0,1.0
390,4.0,-2.0,1,0,0,1.0
391,20.0,6.0,1,0,0,1.0
392,11.0,1.0,0,1,0,1.0
393,5.0,12.0,1,0,0,1.0
394,-1.0,-11.0,0,1,0,1.0
395,3.0,-14.0,0,1,0,1.0
396,24.0,-1.0,0,1,0,1.0
397,11.0,-2.0,0,1,0,1.0
398,18.0,-1.0,0,1,0,1.0
399,-3.0,0.0,1,0,0,1.0
400,-2.0,6.0,1,0,0,1.0
401,-4.0,15.0,1,0,0,1.0
402,9.0,3.0,0,1,0,1.0
403,7.0,4.0,1,0,0,1.0
404,5.0,11.0,1,0,0,1.0
405,9.0,11.0,1,0,0,1.0
406,14.0,-8.0,0,1,0,1.0
407,-5.0,-8.0,1,0,0,0.0
408,-6.0,3.0,1,0,0,1.0
409,0.0,6.0,1,0,0,1.0
410,-1.0,-6.0,1,0,0,1.0
411,21.0,14.0,1,0,0,1.0
412,0.0,-7.0,1,0,0,1.0
413,-1.0,-8.0,0,1,0,1.0
414,15.0,-14.0,1,0,0,1.0
415,5.0,0.0,1,0,0,1.0
416,11.0,-7.0,0,1,0,0.0
417,4.0,-11.0,0,1,0,1.0
418,5.0,-10.0,0,1,0,1.0
419,-6.0,14.0,1,0,0,1.0
420,9.0,11.0,1,0,0,1.0
421,2.0,-10.0,0,1,0,1.0
422,-2.0,-4.0,1,0,0,1.0
423,7.0,3.0,0,1,0,0.0
424,-1.0,9.0,1,0,0,1.0
425,-1.0,-9.0,1,0,0,1.0
426,5.0,-14.0,0,1,0,1.0
427,-2.0,17.0,1,0,0,1.0
428,1.0,9.0,1,0,0,1.0
429,12.0,-10.0,0,1,0,0.0
430,1.0,9.0,1,0,0,1.0
431,5.0,-19.0,0,1,0,1.0
432,6.0,2.0,0,1,0,0.0
433,-3.0,-9.0,0,1,0,1.0
434,7.0,-12.0,0,1,0,1.0
435,-6.0,19.0,1,0,0,1.0
436,73.0,-7.0,0,1,0,1.0
437,2.0,-8.0,1,0,0,1.0
438,5.0,-11.0,0,1,0,1.0
439,16.0,-7.0,0,1,0,1.0
440,-5.0,12.0,1,0,0,1.0
441,2.0,18.0,1,0,0,1.0
442,0.0,-11.0,0,1,0,1.0
443,8.0,-16.0,0,1,0,1.0
444,22.0,-1.0,0,1,0,1.0
445,-9.0,5.0,1,0,0,1.0
446,9.0,21.0,0,0,1,1.0
447,12.0,7.0,1,0,0,1.0
448,0.0,-9.0,0,1,0,1.0
449,14.0,-26.0,0,1,0,1.0
450,12.0,12.0,1,0,0,1.0
451,11.0,-15.0,0,1,0,1.0
452,43.0,-1.0,0,1,0,0.0
453,12.0,-21.0,1,0,0,1.0
454,13.0,-8.0,0,1,0,1.0
455,48.0,19.0,1,0,0,0.0
456,41.0,-7.0,0,1,0,1.0
457,31.0,0.0,0,1,0,1.0
458,7.0,-8.0,0,1,0,1.0
459,-7.0,8.0,1,0,0,1.0
460,6.0,14.0,1,0,0,1.0
461,13.0,5.0,1,0,0,1.0
462,-5.0,-8.0,0,1,0,1.0
463,6.0,-20.0,1,0,0,1.0
464,5.0,-5.0,1,0,0,1.0
465,2.0,13.0,0,1,0,1.0
466,8.0,22.0,1,0,0,1.0
467,-2.0,-18.0,0,1,0,1.0
468,3.0,12.0,1,0,0,1.0
469,6.0,-27.0,0,1,0,1.0
470,4.0,-4.0,1,0,0,1.0
471,2.0,15.0,1,0,0,1.0
472,9.0,-15.0,0,1,0,1.0
473,48.0,-8.0,0,1,0,1.0
474,2.0,-13.0,1,0,0,1.0
475,7.0,7.0,1,0,0,1.0
476,5.0,4.0,1,0,0,1.0
477,-4.0,9.0,1,0,0,1.0
478,8.0,11.0,1,0,0,1.0
479,0.0,-16.0,0,1,0,1.0
480,0.0,-12.0,0,1,0,1.0
481,14.0,-7.0,0,1,0,1.0
482,-7.0,3.0,1,0,0,1.0
483,8.0,-3.0,0,1,0,1.0
484,10.0,-1.0,0,1,0,1.0
485,-5.0,17.0,1,0,0,1.0
486,10.0,13.0,1,0,0,1.0
487,1.0,-26.0,0,1,0,1.0
488,-6.0,1.0,1,0,0,1.0
489,2.0,17.0,1,0,0,1.0
490,17.0,-17.0,0,1,0,1.0
491,7.0,-5.0,1,0,0,1.0
492,9.0,-16.0,0,1,0,1.0
493,18.0,-5.0,0,0,0,1.0
494,34.0,-1.0,1,0,0,0.0
495,-8.0,-6.0,0,1,0,1.0
496,9.0,0.0,1,0,0,1.0
497,17.0,6.0,0,0,0,0.0
498,31.0,0.0,0,1,0,1.0
499,11.0,0.0,1,0,0,1.0
500,13.0,-3.0,0,1,0,1.0
501,8.0,-15.0,0,1,0,1.0
502,-10.0,5.0,1,0,0,1.0
503,7.0,19.0,1,0,0,1.0
504,19.0,13.0,1,0,0,1.0
505,5.0,-11.0,0,1,0,1.0
506,1.0,-16.0,0,1,0,1.0
507,5.0,-9.0,0,1,0,1.0
508,-5.0,16.0,1,0,0,1.0
509,8.0,21.0,0,0,1,1.0
510,-9.0,-10.0,1,0,0,1.0
511,9.0,-24.0,0,1,0,1.0
512,-5.0,0.0,1,0,0,1.0
513,5.0,-2.0,1,0,0,1.0
514,-13.0,21.0,1,0,0,1.0
515,16.0,2.0,0,1,0,1.0
516,24.0,3.0,1,0,0,1.0
517,3.0,-9.0,1,0,0,1.0
518,13.0,5.0,1,0,0,1.0
519,15.0,6.0,1,0,0,1.0
520,24.0,5.0,1,0,0,1.0
521,5.0,-4.0,1,0,0,1.0
522,20.0,1.0,1,0,0,0.0
523,3.0,35.0,1,0,0,1.0
524,-2.0,-11.0,0,1,0,1.0
525,5.0,-16.0,0,1,0,1.0
526,19.0,-5.0,0,1,0,1.0
527,-7.0,19.0,1,0,0,1.0
528,14.0,11.0,1,0,0,1.0
529,37.0,-5.0,0,0,1,0.0
530,69.0,10.0,1,0,0,1.0
531,3.0,8.0,1,0,0,1.0
532,5.0,-7.0,1,0,0,1.0
533,5.0,16.0,1,0,0,1.0
534,-2.0,-29.0,0,1,0,1.0
535,18.0,-1.0,0,0,0,1.0
536,1.0,27.0,1,0,0,1.0
537,-2.0,-16.0,0,1,0,1.0
538,8.0,-9.0,1,0,0,1.0
539,-7.0,2.0,1,0,0,1.0
540,2.0,14.0,1,0,0,1.0
541,4.0,-9.0,0,1,0,1.0
542,3.0,-7.0,1,0,0,1.0
543,14.0,-1.0,1,0,0,1.0
544,-2.0,22.0,1,0,0,1.0
545,10.0,1.0,1,0,0,1.0
546,15.0,-23.0,0,1,0,1.0
547,16.0,1.0,1,0,0,0.0
548,-8.0,0.0,1,0,0,1.0
549,3.0,-4.0,1,0,0,1.0
550,7.0,7.0,1,0,0,1.0
551,4.0,-17.0,0,0,1,0.0
552,11.0,3.0,1,0,0,1.0
553,49.0,-1.0,1,0,0,1.0
554,7.0,2.0,1,0,0,1.0
555,2.0,-18.0,0,1,0,1.0
556,76.0,10.0,0,1,0,1.0
557,13.0,12.0,1,0,0,1.0
558,5.0,9.0,1,0,0,1.0
559,15.0,-3.0,1,0,0,1.0
560,14.0,0.0,1,0,0,1.0
561,17.0,-18.0,0,1,0,1.0
562,-4.0,14.0,1,0,0,1.0
563,17.0,-14.0,0,1,0,1.0
564,14.0,7.0,1,0,0,1.0
565,11.0,0.0,1,0,0,1.0
566,39.0,2.0,0,1,0,1.0
567,16.0,0.0,0,1,0,1.0
568,8.0,9.0,1,0,0,1.0
569,8.0,10.0,1,0,0,1.0
570,18.0,2.0,1,0,0,1.0
571,16.0,-1.0,1,0,0,1.0
572,-3.0,8.0,1,0,0,1.0
573,13.0,-4.0,1,0,0,1.0
574,5.0,4.0,1,0,0,1.0
575,-2.0,-14.0,0,1,0,1.0
576,5.0,-13.0,0,1,0,0.0
577,62.0,1.0,1,0,0,1.0
578,-8.0,4.0,1,0,0,1.0
579,-3.0,-5.0,0,1,0,1.0
580,18.0,-31.0,1,0,0,1.0
581,-6.0,1.0,1,0,0,1.0
582,8.0,-2.0,0,1,0,1.0
583,4.0,3.0,1,0,0,1.0
584,-1.0,12.0,1,0,0,1.0
585,3.0,-5.0,1,0,0,1.0
586,0.0,-12.0,0,1,0,1.0
587,3.0,-1.0,1,0,0,1.0
588,1.0,-5.0,1,0,0,1.0
589,9.0,-1.0,1,0,0,1.0
590,14.0,-1.0,0,1,0,1.0
591,12.0,5.0,0,1,0,1.0
592,15.0,5.0,0,1,0,1.0
593,21.0,-6.0,0,1,0,1.0
594,13.0,-11.0,1,0,0,1.0
595,16.0,-15.0,0,1,0,1.0
596,-9.0,6.0,1,0,0,1.0
597,23.0,-6.0,0,1,0,1.0
598,15.0,0.0,0,1,0,1.0
599,-6.0,4.0,1,0,0,1.0
600,0.0,15.0,1,0,0,1.0
601,-1.0,-14.0,0,1,0,1.0
602,5.0,16.0,1,0,0,1.0
603,4.0,-8.0,1,0,0,1.0
604,11.0,-9.0,0,1,0,1.0
605,-6.0,12.0,1,0,0,1.0
606,1.0,-3.0,1,0,0,1.0
607,-3.0,7.0,0,0,0,1.0
608,0.0,-6.0,1,0,0,1.0
609,8.0,-9.0,0,1,0,1.0
610,42.0,0.0,0,1,0,1.0
611,9.0,13.0,1,0,0,1.0
612,-2.0,-6.0,1,0,0,1.0
613,0.0,12.0,1,0,0,1.0
614,-2.0,-12.0,1,0,0,1.0
615,17.0,-8.0,0,1,0,1.0
616,-1.0,10.0,1,0,0,1.0
617,-2.0,4.0,1,0,0,1.0
618,2.0,6.0,1,0,0,1.0
619,3.0,2.0,1,0,0,1.0
620,12.0,10.0,1,0,0,1.0
621,23.0,-12.0,0,1,0,1.0
622,-6.0,-4.0,1,0,0,1.0
623,-1.0,12.0,1,0,0,1.0
624,-4.0,-13.0,0,1,0,1.0
625,9.0,13.0,0,1,0,1.0
626,17.0,0.0,1,0,0,1.0
627,7.0,-29.0,0,1,0,1.0
628,10.0,-4.0,1,0,0,1.0
629,-2.0,8.0,1,0,0,1.0
630,3.0,1.0,1,0,0,1.0
631,16.0,0.0,0,1,0,1.0
632,5.0,7.0,1,0,0,1.0
633,0.0,-7.0,1,0,0,1.0
634,18.0,-17.0,0,1,0,1.0
635,7.0,-9.0,0,1,0,1.0
636,9.0,-3.0,0,1,0,1.0
637,-7.0,4.0,1,0,0,1.0
638,-2.0,16.0,1,0,0,1.0
639,12.0,-13.0,0,1,0,1.0
640,15.0,-8.0,0,1,0,1.0
641,6.0,-2.0,1,0,0,1.0
642,-4.0,5.0,1,0,0,1.0
643,5.0,11.0,1,0,0,1.0
644,-2.0,-27.0,0,1,0,1.0
645,0.0,17.0,1,0,0,1.0
646,10.0,4.0,0,1,0,1.0
647,11.0,3.0,0,1,0,1.0
648,-2.0,-12.0,1,0,0,1.0
649,11.0,-14.0,0,1,0,1.0
650,46.0,-2.0,0,1,0,1.0
651,11.0,-6.0,1,0,0,1.0
652,6.0,10.0,1,0,0,1.0
653,6.0,1.0,1,0,0,1.0
654,2.0,8.0,1,0,0,1.0
655,7.0,-1.0,0,0,0,1.0
656,-8.0,-8.0,0,1,0,1.0
657,5.0,4.0,1,0,0,1.0
658,12.0,-7.0,1,0,0,1.0
659,17.0,10.0,1,0,0,1.0
660,40.0,-1.0,1,0,0,0.0
661,16.0,-2.0,0,1,0,1.0
662,3.0,0.0,1,0,0,1.0
663,60.0,4.0,0,1,0,1.0
664,7.0,1.0,1,0,0,1.0
665,-1.0,12.0,1,0,0,1.0
666,-4.0,-5.0,0,1,0,1.0
667,6.0,-19.0,0,1,0,1.0
668,-1.0,13.0,1,0,0,1.0
669,10.0,-16.0,0,1,0,1.0
670,-5.0,6.0,1,0,0,1.0
671,13.0,2.0,1,0,0,1.0
